wyniki wychodzace;;;;;wyniki obliczone;
liczba agentow;Gauss(bez optymalizacji);Gauss(zoptymalizowany);Gauss-Seidel;Sparse;liczba agentow;Gauss(bez optymalizacji);Gauss(zoptymalizowany);Gauss-Seidel;Sparse;Blad bezwzgledny Gauss;Blad bezwzgledny Gauss(zoptymalizowany); Blad bezwzgledny Gauss-Seidel
44;4.680057981E9;2.76622193E8;3.007186169E9;8.29345398E8;44;4.642810578180602E9;2.7689446147797537E8;2.927825612153645E9;1.7637443669629576E9;3.724740281939793E7;272268.4779753685;7.936055684635496E7;9.343989689629576E8
45;5.353910179E9;2.5342342E8;3.048142268E9;9.39501348E8;45;5.321807132655413E9;3.131319654751794E8;3.2246873395868416E9;1.886253757132343E9;3.2103046344587326E7;5.9708545475179374E7;1.7654507158684158E8;9.46752409132343E8
46;6.296380652E9;3.149127E8;3.474176678E9;1.073686023E9;46;6.085513132571882E9;3.524799969086062E8;3.543365286645023E9;2.0114263949141061E9;2.1086751942811775E8;3.756729690860617E7;6.918860864502287E7;9.377403719141061E8
47;6.908109863E9;3.43281315E8;3.931533013E9;1.222362703E9;47;6.942206496220655E9;3.950884109789136E8;3.884850595509558E9;2.1392622803082473E9;3.409663322065544E7;5.1807095978913605E7;4.66824174904418E7;9.168995773082473E8
48;7.867852634E9;3.80728389E8;4.287432118E9;1.428339568E9;48;7.900741810591247E9;4.411102512952841E8;4.2501554964933357E9;2.269761413314766E9;3.2889176591246605E7;6.038186229528409E7;3.7276621506664276E7;8.414218453147659E8
49;9.01039698E9;4.17312233E8;4.475885575E9;1.673848486E9;49;8.970575628810661E9;4.9070174987542474E8;4.640313308040761E9;2.4029237939336634E9;3.9821351189338684E7;7.338951687542474E7;1.64427733040761E8;7.290753079336634E8
50;1.0053820557E10;4.66536245E8;4.92475342E9;2.077472447E9;50;1.0161792294611937E10;5.440223271455674E8;5.056378436727758E9;2.538749422164938E9;1.0797173761193657E8;7.748608214556742E7;1.3162501672775841E8;4.61276975164938E8
51;1.1349008418E10;5.13232991E8;5.125351048E9;2.176261109E9;51;1.1485130293832708E10;6.012345919404683E8;5.49942637726177E9;2.6772382980085917E9;1.3612187583270836E8;8.800160094046831E7;3.7407532926177025E8;5.0097718900859165E8
52;1.2812404984E10;5.75489838E8;5.583053907E9;2.55243672E9;52;1.2952009132943703E10;6.625043415034087E8;5.97055371248176E9;2.8183904214646225E9;1.396041489437027E8;8.701450350340867E7;3.8749980548176E8;2.659537014646225E8
53;1.4485853344E10;8.44923323E8;6.401765281E9;2.991350903E9;53;1.4574556744607224E10;7.28000561486194E8;6.470878113358206E9;2.9622057925330305E9;8.870340060722351E7;1.1692276151380599E8;6.91128323582058E7;2.914511046696949E7
54;1.6257834549E10;9.31984177E8;7.027504024E9;3.424833317E9;54;1.6365637420265602E10;7.978954259491546E8;7.001538338993106E9;3.1086844112138176E9;1.0780287126560211E8;1.3408875105084538E8;2.596568500689411E7;3.161489057861824E8
55;1.8250020725E10;1.058882868E9;7.629020283E9;3.82556136E9;55;1.833888026975963E10;8.723642973611456E8;7.56369423661998E9;3.257826277506982E9;8.88595447596283E7;1.8651857063885438E8;6.532604638002014E7;5.677350824930182E8
56;2.0640133315E10;8.72277162E8;8.260622698E9;4.656102921E9;56;2.0508708207976936E10;9.515857265995461E8;8.158526741603859E9;3.409631391412524E9;1.3142510702306366E8;7.930856459954607E7;1.0209595639614105E8;1.2464715295874758E9
57;2.2781466477E10;1.207753131E9;8.890751689E9;3.854043172E9;57;2.2890367468530365E10;1.0357414529502609E9;8.787237877441301E9;3.5640997529304457E9;1.0890099153036499E8;1.7201167804973912E8;1.0351381155869865E8;2.899434190695543E8
58;2.5593356923E10;1.060271908E9;9.942947097E9;5.979401945E9;58;2.549995764446631E10;1.125016404107718E9;9.451050755760376E9;3.7212313620607433E9;9.33992785336914E7;6.474449610771799E7;4.91896341239624E8;2.2581705829392567E9
59;2.8488763787E10;1.122592789E9;1.0033160061E10;7.00407727E9;59;2.8354462256003006E10;1.219598696174872E9;1.0151209576320675E10;3.88102621880342E9;1.3430153099699402E8;9.700590717487192E7;1.180495153206749E8;3.12305105119658E9

Czas dla 100.000 z budowaniem
 Gauss(bez optymalizacji);6.169845386032972E15;Gauss(z optymalizacja);5.48642156560486E12;Gauss-Seidel;3.6413711483793664E13;Sparse;2.7046145922738577E11
