;n;Gauss;Gauss(upgraded);GaussSeidel;Sparse; ;n;Gauss;Gauss(upgraded);GaussSeidel;Sparse;
dzialanie;49;8.994972801E9;4.01730636E8;4.444644763E9;1.3433439E7;budowanie;49;1.5424179E7;1.5581597E7;3.1240812E7;1.660415047E9
dzialanie;50;1.0035629059E10;4.5009369E8;4.891816963E9;1.1349511E7;budowanie;50;1.8191498E7;1.6442555E7;3.2936457E7;2.066122936E9
dzialanie;51;1.1331198991E10;4.95568802E8;5.053135548E9;1.3421191E7;budowanie;51;1.7809427E7;1.7664189E7;7.22155E7;2.162839918E9
dzialanie;52;1.2793323257E10;5.56343999E8;5.535539794E9;1.778732E7;budowanie;52;1.9081727E7;1.9145839E7;4.7514113E7;2.5346494E9
dzialanie;53;1.4465131265E10;8.24079474E8;6.359086621E9;1.8697716E7;budowanie;53;2.0722079E7;2.0843849E7;4.267866E7;2.972653187E9
dzialanie;54;1.6235806679E10;9.09581014E8;6.982119829E9;1.8971961E7;budowanie;54;2.202787E7;2.2403163E7;4.5384195E7;3.405861356E9
dzialanie;55;1.822622596E10;1.02142709E9;7.580489584E9;2.1210314E7;budowanie;55;2.3794765E7;3.7455778E7;4.8530699E7;3.804351046E9
dzialanie;56;2.0613414842E10;8.46854259E8;8.209946452E9;2.4678716E7;budowanie;56;2.6718473E7;2.5422903E7;5.0676246E7;4.631424205E9
dzialanie;57;2.2754289194E10;1.180642125E9;8.772302333E9;2.2416128E7;budowanie;57;2.7177283E7;2.7111006E7;1.18449356E8;3.831627044E9
dzialanie;58;2.556437233E10;9.8391998E8;9.487158165E9;2.2049204E7;budowanie;58;2.8984593E7;7.6351928E7;4.55788932E8;5.957352741E9
dzialanie;59;2.8457874502E10;1.091141425E9;9.936376837E9;2.3346462E7;budowanie;59;3.0889285E7;3.1451364E7;9.6783224E7;6.980730808E9
