;n;Gauss;Gauss(upgraded);GaussSeidel;Sparse; ;n;Gauss;Gauss(upgraded);GaussSeidel;Sparse;
dzialanie;10;1.9864836E7;3656437.0;2.08664474E8;;budowanie;10;6701963.0;691418.0;1616280.0
dzialanie;11;3.06514E7;3545400.0;7.375996E7;;budowanie;11;302414.0;292546.0;2165432.0
dzialanie;12;4.392264E7;7792111.0;8.6397198E7;;budowanie;12;4099561.0;251035.0;524109.0
dzialanie;13;5.9759796E7;4963306.0;6.5304198E7;;budowanie;13;551124.0;399843.0;3067051.0
dzialanie;14;4.1757389E7;1.7639941E7;1.0611127E8;;budowanie;14;264237.0;290501.0;787616.0
dzialanie;15;1.00829449E8;1.2352143E7;9.2869814E7;;budowanie;15;627016.0;693314.0;1236991.0
dzialanie;16;1.82848985E8;2.5982739E7;1.74201381E8;;budowanie;16;513708.0;744710.0;3172449.0
dzialanie;17;2.86848436E8;3.6307779E7;2.79686171E8;;budowanie;17;924755.0;843957.0;2941408.0
dzialanie;18;2.72320655E8;2.2128418E7;1.42365565E8;;budowanie;18;1369734.0;1232058.0;2086943.0
dzialanie;19;1.58362526E8;7294617.0;1.16701785E8;;budowanie;19;612814.0;596374.0;2114785.0
dzialanie;20;8.8084527E7;8583555.0;1.74859236E8;;budowanie;20;1061934.0;1070894.0;2157312.0
dzialanie;21;7.7066717E7;1.0768869E7;1.97850703E8;;budowanie;21;788739.0;957380.0;3125979.0
dzialanie;22;1.35454673E8;1.2466128E7;2.27250353E8;;budowanie;22;1180177.0;1670606.0;2095250.0
dzialanie;23;1.3818958E8;2.0301582E7;3.38368748E8;;budowanie;23;1164102.0;1219486.0;3809579.0
dzialanie;24;2.30475236E8;2.0538227E7;4.43166125E8;;budowanie;24;1925766.0;2490799.0;5782393.0
dzialanie;25;2.7151767E8;1.9100747E7;3.54928198E8;;budowanie;25;4366655.0;1979705.0;3288990.0
dzialanie;26;2.47139341E8;1.9912694E7;3.56320691E8;;budowanie;26;1656471.0;1611833.0;3914670.0
dzialanie;27;2.96699451E8;2.8930992E7;4.05853373E8;;budowanie;27;2030177.0;1842723.0;4559288.0
dzialanie;28;3.83428472E8;2.8385066E7;4.90819649E8;;budowanie;28;2057063.0;2243114.0;4946777.0
dzialanie;29;4.55196779E8;5.1062224E7;6.39554188E8;;budowanie;29;2321281.0;3465521.0;7677823.0
dzialanie;30;7.20230783E8;5.3087478E7;7.95591307E8;;budowanie;30;3049784.0;3434324.0;1.0419051E7
dzialanie;31;8.44598263E8;6.6604926E7;8.75373096E8;;budowanie;31;5565366.0;4809617.0;1.0726829E7
dzialanie;32;9.85938698E8;8.5343856E7;9.7034253E8;;budowanie;32;3465865.0;5432353.0;7911218.0
dzialanie;33;9.64904425E8;6.8898915E7;8.99189888E8;;budowanie;33;4604652.0;3822724.0;8457037.0
dzialanie;34;1.080230615E9;1.39172776E8;1.008030449E9;;budowanie;34;4131177.0;4142673.0;8656211.0
dzialanie;35;1.293224527E9;8.1646996E7;1.179040674E9;;budowanie;35;4774447.0;4776757.0;8831631.0
dzialanie;36;1.474099618E9;9.2944724E7;1.426768621E9;;budowanie;36;5220109.0;5049525.0;9748257.0
dzialanie;37;1.730996441E9;1.02618667E8;1.47574944E9;;budowanie;37;5469965.0;5554961.0;1.1300928E7
dzialanie;38;2.042536551E9;1.10083212E8;1.628131628E9;;budowanie;38;6304747.0;5955153.0;1.2358803E7
dzialanie;39;2.362455015E9;1.43249286E8;1.815429982E9;;budowanie;39;6794244.0;6876608.0;1.353513E7
dzialanie;40;2.726296405E9;1.57791006E8;1.891960221E9;;budowanie;40;7389516.0;7254225.0;1.4851902E7
dzialanie;41;3.222112588E9;1.58699196E8;2.16758684E9;;budowanie;41;8045717.0;8127143.0;1.6398798E7
dzialanie;42;3.627868946E9;1.73100376E8;2.406062896E9;;budowanie;42;9491493.0;2.4447955E7;1.8250803E7
dzialanie;43;4.164937679E9;1.92807842E8;2.655733117E9;;budowanie;43;1.072853E7;1.0591819E7;1.9985323E7
dzialanie;44;4.835818136E9;2.74727175E8;2.936219576E9;;budowanie;44;1.0743495E7;1.0879964E7;2.1608115E7
dzialanie;45;5.548422375E9;2.45095328E8;3.050949687E9;;budowanie;45;1.1767139E7;1.1581488E7;2.3604296E7
dzialanie;46;6.277693239E9;3.12583244E8;3.413461776E9;;budowanie;46;1.2470848E7;1.2643791E7;2.5349916E7
dzialanie;47;7.206384417E9;3.3395736E8;3.78037523E9;;budowanie;47;1.364724E7;1.3620144E7;2.7244621E7
dzialanie;48;8.149320179E9;3.81034322E8;4.346216623E9;;budowanie;48;1.4795346E7;1.5484389E7;2.9123373E7
dzialanie;49;9.042100951E9;4.10827038E8;4.510011314E9;;budowanie;49;1.5534973E7;1.6264439E7;3.2020126E7
dzialanie;50;1.0233991054E10;4.63851281E8;4.919177258E9;;budowanie;50;1.810313E7;1.6793601E7;7.3275478E7
dzialanie;51;1.1555259724E10;5.09302263E8;5.475399502E9;;budowanie;51;1.8402555E7;5.7849129E7;3.6170211E7
dzialanie;52;1.3540104169E10;8.01414451E8;5.86304842E9;;budowanie;52;1.9449611E7;1.9739137E7;3.9180772E7
dzialanie;53;1.5019219957E10;6.80109888E8;6.59923379E9;;budowanie;53;2.4073197E7;2.1005255E7;4.2202264E7
dzialanie;54;1.6453849601E10;8.92712403E8;6.812067169E9;;budowanie;54;2.2585964E7;2.2946297E7;4.5391175E7
dzialanie;55;1.873521831E10;1.025525985E9;7.472960592E9;;budowanie;55;2.4329557E7;2.4127345E7;4.8676568E7
